Bank,Date,Close,Currency,GlobalBankIndex
Bank of America,2022-10-03,28.878572463989258,USD,713.7899780273438
Bank of America,2022-10-04,30.07681655883789,USD,744.1900024414062
Bank of America,2022-10-05,29.6495361328125,USD,736.0800170898438
Bank of America,2022-10-06,29.222253799438477,USD,726.25
Bank of America,2022-10-07,28.562755584716797,USD,718.22998046875
Bank of America,2022-10-10,28.47916030883789,USD,711.7999877929688
Bank of America,2022-10-11,27.652463912963867,USD,700.5999755859375
Bank of America,2022-10-12,27.73606300354004,USD,695.3099975585938
Bank of America,2022-10-13,29.435894012451172,USD,716.3400268554688
Bank of America,2022-10-14,29.4451847076416,USD,717.5800170898438
Bank of America,2022-10-17,31.228612899780273,USD,733.7000122070312
Bank of America,2022-10-18,32.398990631103516,USD,742.3300170898438
Bank of America,2022-10-19,31.50727081298828,USD,735.3300170898438
Bank of America,2022-10-20,31.302927017211914,USD,737.9600219726562
Bank of America,2022-10-21,32.46400833129883,USD,747.1599731445312
Bank of America,2022-10-24,32.575477600097656,USD,755.1099853515625
Bank of America,2022-10-25,32.872718811035156,USD,764.8800048828125
Bank of America,2022-10-26,33.16066360473633,USD,767.510009765625
Bank of America,2022-10-27,33.318572998046875,USD,763.9199829101562
Bank of America,2022-10-28,33.60652160644531,USD,762.6500244140625
Bank of America,2022-10-31,33.476478576660156,USD,758.1099853515625
Bank of America,2022-11-01,33.625099182128906,USD,764.760009765625
Bank of America,2022-11-02,33.52292251586914,USD,765.02001953125
Bank of America,2022-11-03,33.33715057373047,USD,757.6799926757812
Bank of America,2022-11-04,34.173133850097656,USD,779.4299926757812
Bank of America,2022-11-07,34.377479553222656,USD,786.0700073242188
Bank of America,2022-11-08,34.47037124633789,USD,792.5999755859375
Bank of America,2022-11-09,33.92233657836914,USD,784.1099853515625
Bank of America,2022-11-10,35.41781997680664,USD,808.47998046875
Bank of America,2022-11-11,35.67790222167969,USD,824.7899780273438
Bank of America,2022-11-14,35.07413864135742,USD,820.27001953125
Bank of America,2022-11-15,35.018402099609375,USD,829.5499877929688
Bank of America,2022-11-16,34.70259094238281,USD,823.0499877929688
Bank of America,2022-11-17,34.52609634399414,USD,818.7000122070312
Bank of America,2022-11-18,34.54468536376953,USD,823.9400024414062
Bank of America,2022-11-21,34.656150817871094,USD,820.510009765625
Bank of America,2022-11-22,34.82334518432617,USD,830.1799926757812
Bank of America,2022-11-23,34.93479919433594,USD,834.719970703125
Bank of America,2022-11-25,35.018402099609375,USD,842.7100219726562
Bank of America,2022-11-28,34.238155364990234,USD,828.1500244140625
Bank of America,2022-11-29,34.36819076538086,USD,836.0599975585938
Bank of America,2022-11-30,35.15773010253906,USD,838.739990234375
Bank of America,2022-12-01,34.14868927001953,USD,837.6599731445312
Bank of America,2022-12-02,33.70956802368164,USD,832.6400146484375
Bank of America,2022-12-05,32.205345153808594,USD,826.25
Bank of America,2022-12-06,30.831924438476562,USD,819.760009765625
Bank of America,2022-12-07,30.589006423950195,USD,817.6799926757812
Bank of America,2022-12-08,30.3087100982666,USD,819.7000122070312
Bank of America,2022-12-09,30.252653121948242,USD,826.5399780273438
Bank of America,2022-12-12,30.57965850830078,USD,826.6799926757812
Bank of America,2022-12-13,30.598346710205078,USD,838.9000244140625
Bank of America,2022-12-14,30.159223556518555,USD,831.3099975585938
Bank of America,2022-12-15,29.682735443115234,USD,814.6199951171875
Bank of America,2022-12-16,29.61733055114746,USD,814.77001953125
Bank of America,2022-12-19,29.95368194580078,USD,813.77001953125
Bank of America,2022-12-20,30.075136184692383,USD,829.3699951171875
Bank of America,2022-12-21,30.532943725585938,USD,841.8800048828125
Bank of America,2022-12-22,30.26199722290039,USD,838.3699951171875
Bank of America,2022-12-23,30.33674430847168,USD,841.8699951171875
Bank of America,2022-12-27,30.39280128479004,USD,843.0700073242188
Bank of America,2022-12-28,30.617036819458008,USD,844.47998046875
Bank of America,2022-12-29,30.962722778320312,USD,849.8400268554688
Bank of America,2022-12-30,30.944034576416016,USD,847.5599975585938
Bank of America,2023-01-03,31.308414459228516,USD,861.52001953125
Bank of America,2023-01-04,31.89702606201172,USD,883.0999755859375
Bank of America,2023-01-05,31.831623077392578,USD,877.6799926757812
Bank of America,2023-01-06,32.149288177490234,USD,889.0900268554688
Bank of America,2023-01-09,31.6634521484375,USD,894.8099975585938
Bank of America,2023-01-10,31.878334045410156,USD,893.4500122070312
Bank of America,2023-01-11,32.12125778198242,USD,898.1900024414062
Bank of America,2023-01-12,32.205345153808594,USD,916.260009765625
Bank of America,2023-01-13,32.91541290283203,USD,929.9000244140625
Bank of America,2023-01-17,32.25205993652344,USD,927.3800048828125
Bank of America,2023-01-18,31.50461769104004,USD,925.530029296875
Bank of America,2023-01-19,31.046812057495117,USD,910.52001953125
Bank of America,2023-01-20,31.626079559326172,USD,922.469970703125
Bank of America,2023-01-23,32.06520080566406,USD,929.7899780273438
Bank of America,2023-01-24,32.298770904541016,USD,935.2000122070312
Bank of America,2023-01-25,32.57905578613281,USD,937.5900268554688
Bank of America,2023-01-26,33.0181884765625,USD,948.1300048828125
Bank of America,2023-01-27,33.12095642089844,USD,955.0999755859375
Bank of America,2023-01-30,32.980812072753906,USD,950.5
Bank of America,2023-01-31,33.14899444580078,USD,955.030029296875
